drug_id,preferred_name,approval_status,is_supportive_care,rxnorm_in,ncit_code,normalized_key,sources
rx:14448.0,3-iodobenzylguanidine,FDA_approved,False,14448.0,C87757,3iodobenzylguanidine,FDA_v24
ncit:C67162,ABVE,FDA_approved,False,,C67162,abve,FDA_v24
ncit:C67175,ABVE-PC,FDA_approved,False,,C67175,abvepc,FDA_v24
ncit:C63415,AC,FDA_approved,False,,C63415,ac,FDA_v24
rx:1726183.0,AC-T,FDA_approved,False,1726183.0,,act,FDA_old
rx:1236711.0,ADE,FDA_approved,False,1236711.0,C9579,ade,FDA_old|FDA_v24
rx:2536435.0,Abecma,FDA_approved,False,2536435.0,,abecma,FDA_old
rx:589511.0,Abraxane,FDA_approved,False,589511.0,,abraxane,FDA_old
norm:accesstoexperimentaldrugs,Access to Experimental Drugs,FDA_approved,False,,,accesstoexperimentaldrugs,FDA_v24
rx:895761.0,Actemra,FDA_approved,False,895761.0,,actemra,FDA_old
rx:1147324.0,Adcetris,FDA_approved,False,1147324.0,,adcetris,FDA_old
rx:42512.0,Adriamycin,FDA_approved,False,42512.0,,adriamycin,FDA_old
rx:2644441.0,Adstiladrin,FDA_approved,False,2644441.0,,adstiladrin,FDA_old
rx:845509.0,Afinitor,FDA_approved,False,845509.0,,afinitor,FDA_old
rx:2645245.0,Akeega,FDA_approved,False,2645245.0,,akeega,FDA_old
rx:1552344.0,Akynzeo,FDA_approved,False,1552344.0,,akynzeo,FDA_old
rx:215085.0,Aldara,FDA_approved,False,215085.0,,aldara,FDA_old
rx:1727480.0,Alecensa,FDA_approved,False,1727480.0,,alecensa,FDA_old
rx:323879.0,Alimta,FDA_approved,False,323879.0,,alimta,FDA_old
rx:151325.0,Alkeran Tablets,FDA_approved,False,151325.0,,alkerantablets,FDA_old|FDA_v24
rx:1740952.0,Alkeran for Injection,FDA_approved,False,1740952.0,,alkeranforinjection,FDA_old|FDA_v24
rx:17393.0,Aloxi,FDA_approved,False,17393.0,C47650,aloxi,FDA_old|FDA_v24
rx:1921223.0,Alunbrig,FDA_approved,False,1921223.0,,alunbrig,FDA_old
rx:2599045.0,Alymsys,FDA_approved,False,2599045.0,,alymsys,FDA_old
rx:1806646.0,Ameluz,FDA_approved,False,1806646.0,,ameluz,FDA_old
rx:261715.0,Aminolevulinic Acid Hydrochloride,FDA_approved,False,261715.0,,aminolevulinicacidhydrochloride,FDA_old
rx:2675870.0,Amtagvi,FDA_approved,False,2675870.0,,amtagvi,FDA_old
rx:2682686.0,Anktiva,FDA_approved,False,2682686.0,,anktiva,FDA_old
rx:337045.0,Aranesp,FDA_approved,False,337045.0,,aranesp,FDA_old
ncit:C1345,Aredia,FDA_approved,False,,C1345,aredia,FDA_v24
rx:262485.0,Arimidex,FDA_approved,False,262485.0,,arimidex,FDA_old
rx:262105.0,Aromasin,FDA_approved,False,262105.0,,aromasin,FDA_old
rx:613324.0,Arranon,FDA_approved,False,613324.0,,arranon,FDA_old
rx:876301.0,Arzerra,FDA_approved,False,876301.0,,arzerra,FDA_old
rx:1431738.0,Asparaginase Erwinia Chrysanthemi,FDA_approved,False,1431738.0,,asparaginaseerwiniachrysanthemi,FDA_old
rx:2561249.0,Asparaginase Erwinia Chrysanthemi (Recombinant)-rywn,FDA_approved,False,2561249.0,,asparaginaseerwiniachrysanthemirecombinantrywn,FDA_old
rx:2121422.0,Asparlas,FDA_approved,False,2121422.0,,asparlas,FDA_old
rx:2693887.0,Atezolizumab and Hyaluronidase-tqjs,FDA_approved,False,2693887.0,,atezolizumabandhyaluronidasetqjs,FDA_old|FDA_v24
rx:2700169.0,Aucatzyl,FDA_approved,False,2700169.0,,aucatzyl,FDA_old
rx:2670650.0,Augtyro,FDA_approved,False,2670650.0,,augtyro,FDA_old
rx:337521.0,Avastin,FDA_approved,False,337521.0,,avastin,FDA_old
rx:2272113.0,Ayvakit,FDA_approved,False,2272113.0,,ayvakit,FDA_old
rx:2053287.0,Azedra,FDA_approved,False,2053287.0,,azedra,FDA_old
rx:1875543.0,Bavencio,FDA_approved,False,1875543.0,,bavencio,FDA_old
rx:1543548.0,Beleodaq,FDA_approved,False,1543548.0,,beleodaq,FDA_old
rx:1726098.0,Bendeka,FDA_approved,False,1726098.0,,bendeka,FDA_old
rx:1942955.0,Besponsa,FDA_approved,False,1942955.0,,besponsa,FDA_old
rx:2587066.0,Besremi,FDA_approved,False,2587066.0,,besremi,FDA_old
rx:343027.0,BiCNU,FDA_approved,False,343027.0,,bicnu,FDA_old
rx:2699596.0,Bizengri,FDA_approved,False,2699596.0,,bizengri,FDA_old
rx:1597263.0,Blincyto,FDA_approved,False,1597263.0,,blincyto,FDA_old
rx:1307625.0,Bosulif,FDA_approved,False,1307625.0,,bosulif,FDA_old
rx:2049112.0,Braftovi,FDA_approved,False,2049112.0,,braftovi,FDA_old
rx:2479141.0,Breyanzi,FDA_approved,False,2479141.0,,breyanzi,FDA_old
rx:2262441.0,Brukinsa,FDA_approved,False,2262441.0,,brukinsa,FDA_old
